customer_id,age,income,savings,monthly_expenses,num_dependents,credit_score,loan_amount,loan_term_months,employment_years,home_ownership,education,marital_status,region,recent_default,has_credit_card,signup_date,signup_dayofweek,debt_to_income,sin_age,target_default_risk
CUST006253,30,66737.0,11155.0,2272.0,2,605.0762041453025,26965.0,48,3.9,RENT,HS,Single,West,1,1,2020-07-05,6,0.404,0.1411200080598672,1
CUST004685,22,70740.0,997.0,1934.0,1,683.2919671038601,4681.0,36,0.7,RENT,Bachelors,Married,East,0,0,2018-10-03,2,0.066,0.8084964038195902,1
CUST001732,68,38890.0,1929.0,1696.0,0,658.0033599610259,12633.0,72,2.2,OWN,Bachelors,Single,East,0,1,2018-05-30,2,0.325,0.49411335113860816,0
CUST004743,49,29049.0,6284.0,2485.0,1,707.4778635701475,20881.0,36,2.7,OWN,HS,Married,South,0,1,2018-04-22,6,0.719,-0.9824526126243325,0
CUST004522,74,60063.0,924.0,3179.0,2,564.7685107232379,19438.0,36,10.3,MORTGAGE,Masters,Single,West,0,0,2019-12-03,1,0.324,0.8987080958116268,1
CUST006341,56,37852.0,4826.0,3055.0,3,686.86352918947,15328.0,48,1.3,RENT,Masters,Single,South,0,1,2018-11-08,3,0.405,-0.6312666378723215,0
CUST000577,19,64635.0,5240.0,2737.0,2,564.799941612114,23469.0,48,6.7,RENT,HS,Divorced,North,0,1,2021-12-14,1,0.363,0.9463000876874146,1
CUST005203,44,58003.0,6113.0,1607.0,1,590.3098537633645,1000.0,48,0.5,OWN,Other,Single,East,0,0,2019-10-02,2,0.017,-0.9516020738895161,1
CUST006364,18,41132.0,14936.0,1414.0,2,616.7010295643238,22800.0,72,2.1,OWN,PhD,Married,East,0,1,2018-04-18,2,0.554,0.9738476308781954,0
CUST000440,29,51038.0,12639.0,2514.0,1,604.9028066694456,6050.0,60,6.0,RENT,Masters,Single,East,0,0,2022-02-05,5,0.119,0.23924932921398243,0
CUST002751,53,23159.0,4693.0,2237.0,0,460.39142864562655,23730.0,36,10.5,RENT,Bachelors,Divorced,East,0,1,2020-08-21,4,1.025,-0.8322674422239013,1
CUST007488,40,163249.0,4837.0,2040.0,0,,1403.0,48,8.6,OWN,Masters,Married,North,0,0,2023-02-02,3,0.009,-0.7568024953079284,1
CUST005273,41,28500.0,21193.0,1462.0,1,690.2678605454586,28160.0,48,8.8,MORTGAGE,Bachelors,Married,North,0,1,2023-01-02,0,0.988,-0.8182771110644104,0
CUST005654,42,,4289.0,2140.0,0,688.5661856472367,1000.0,48,9.3,OWN,Bachelors,Single,West,0,0,2018-01-13,5,0.008,-0.8715757724135881,1
